time,p_x,p_y,p_z
1.835999999999999943e+01,-6.521627902984619141e-01,-6.248741745948791504e-01,9.900936484336853027e-01
1.837000000000000099e+01,-6.523343920707702637e-01,-6.248877048492431641e-01,9.900809526443481445e-01
1.837999999999999901e+01,-6.525077223777770996e-01,-6.248885989189147949e-01,9.900749921798706055e-01
1.839000000000000057e+01,-6.526829004287719727e-01,-6.248773932456970215e-01,9.900568127632141113e-01
1.839999999999999858e+01,-6.528595685958862305e-01,-6.248541474342346191e-01,9.900527000427246094e-01
1.841000000000000014e+01,-6.530376076698303223e-01,-6.248190402984619141e-01,9.900474548339843750e-01
1.842000000000000171e+01,-6.532167792320251465e-01,-6.247723698616027832e-01,9.900470972061157227e-01
1.842999999999999972e+01,-6.533971428871154785e-01,-6.247141361236572266e-01,9.900520443916320801e-01
1.844000000000000128e+01,-6.535784602165222168e-01,-6.246451735496520996e-01,9.900436997413635254e-01
1.844999999999999929e+01,-6.537606120109558105e-01,-6.245653033256530762e-01,9.900529384613037109e-01
1.846000000000000085e+01,-6.539434790611267090e-01,-6.244751811027526855e-01,9.900546669960021973e-01
1.846999999999999886e+01,-6.541268825531005859e-01,-6.243752241134643555e-01,9.900647997856140137e-01
1.848000000000000043e+01,-6.543109416961669922e-01,-6.242658495903015137e-01,9.900725483894348145e-01
1.848999999999999844e+01,-6.544953584671020508e-01,-6.241475343704223633e-01,9.900809526443481445e-01
1.850000000000000000e+01,-6.546801328659057617e-01,-6.240203380584716797e-01,9.900909066200256348e-01
1.851000000000000156e+01,-6.548652052879333496e-01,-6.238847970962524414e-01,9.900909662246704102e-01
1.851999999999999957e+01,-6.550505757331848145e-01,-6.237408518791198730e-01,9.901065230369567871e-01
1.853000000000000114e+01,-6.552358865737915039e-01,-6.235892772674560547e-01,9.901050329208374023e-01
1.853999999999999915e+01,-6.554211974143981934e-01,-6.234300732612609863e-01,9.901016950607299805e-01
1.855000000000000071e+01,-6.556061506271362305e-01,-6.232636570930480957e-01,9.900984764099121094e-01
1.855999999999999872e+01,-6.557910442352294922e-01,-6.230903267860412598e-01,9.900907278060913086e-01
1.857000000000000028e+01,-6.559754610061645508e-01,-6.229104399681091309e-01,9.900875687599182129e-01
1.857999999999999829e+01,-6.561595201492309570e-01,-6.227242350578308105e-01,9.900857210159301758e-01
1.858999999999999986e+01,-6.563431024551391602e-01,-6.225320696830749512e-01,9.900764226913452148e-01
1.860000000000000142e+01,-6.565260291099548340e-01,-6.223341822624206543e-01,9.900717735290527344e-01
1.860999999999999943e+01,-6.567085981369018555e-01,-6.221310496330261230e-01,9.900668263435363770e-01
1.862000000000000099e+01,-6.568906903266906738e-01,-6.219230294227600098e-01,9.900673031806945801e-01
1.862999999999999901e+01,-6.570724844932556152e-01,-6.217106580734252930e-01,9.900909662246704102e-01
1.864000000000000057e+01,-6.572539210319519043e-01,-6.214942932128906250e-01,9.900968074798583984e-01
1.864999999999999858e+01,-6.574347615242004395e-01,-6.212744712829589844e-01,9.901106953620910645e-01
1.866000000000000014e+01,-6.576152443885803223e-01,-6.210515499114990234e-01,9.901207089424133301e-01
1.867000000000000171e+01,-6.577952504158020020e-01,-6.208260655403137207e-01,9.901325702667236328e-01
1.867999999999999972e+01,-6.579747200012207031e-01,-6.205980777740478516e-01,9.901369810104370117e-01
1.869000000000000128e+01,-6.581535935401916504e-01,-6.203678250312805176e-01,9.901502728462219238e-01
1.869999999999999929e+01,-6.583316922187805176e-01,-6.201352477073669434e-01,9.901521205902099609e-01
1.871000000000000085e+01,-6.585090160369873047e-01,-6.199006438255310059e-01,9.901489615440368652e-01
1.871999999999999886e+01,-6.586854457855224609e-01,-6.196642518043518066e-01,9.901549816131591797e-01
1.873000000000000043e+01,-6.588611006736755371e-01,-6.194262504577636719e-01,9.901624321937561035e-01
1.873999999999999844e+01,-6.590358614921569824e-01,-6.191866397857666016e-01,9.901905655860900879e-01
1.875000000000000000e+01,-6.592098474502563477e-01,-6.189461946487426758e-01,9.901981353759765625e-01
1.876000000000000156e+01,-6.593827009201049805e-01,-6.187049150466918945e-01,9.902283549308776855e-01
1.876999999999999957e+01,-6.595543622970581055e-01,-6.184630393981933594e-01,9.902446866035461426e-01
1.878000000000000114e+01,-6.597247719764709473e-01,-6.182209253311157227e-01,9.902797341346740723e-01
1.878999999999999915e+01,-6.598937511444091797e-01,-6.179789900779724121e-01,9.903000593185424805e-01
1.880000000000000071e+01,-6.600613594055175781e-01,-6.177375912666320801e-01,9.903211593627929688e-01
1.880999999999999872e+01,-6.602274775505065918e-01,-6.174968481063842773e-01,9.903513193130493164e-01
1.882000000000000028e+01,-6.603918671607971191e-01,-6.172569394111633301e-01,9.903780221939086914e-01
1.882999999999999829e+01,-6.605545878410339355e-01,-6.170179843902587891e-01,9.904153347015380859e-01
1.883999999999999986e+01,-6.607154607772827148e-01,-6.167802810668945312e-01,9.904490113258361816e-01
1.885000000000000142e+01,-6.608745455741882324e-01,-6.165442466735839844e-01,9.904763102531433105e-01
1.885999999999999943e+01,-6.610319018363952637e-01,-6.163101792335510254e-01,9.905115365982055664e-01
1.887000000000000099e+01,-6.611872911453247070e-01,-6.160780191421508789e-01,9.905480146408081055e-01
1.887999999999999901e+01,-6.613402962684631348e-01,-6.158480048179626465e-01,9.905804991722106934e-01
1.889000000000000057e+01,-6.614907979965209961e-01,-6.156204938888549805e-01,9.906109571456909180e-01
1.889999999999999858e+01,-6.616388559341430664e-01,-6.153956651687622070e-01,9.906407594680786133e-01
1.891000000000000014e+01,-6.617840528488159180e-01,-6.151737570762634277e-01,9.906573891639709473e-01
1.892000000000000171e+01,-6.619264483451843262e-01,-6.149547696113586426e-01,9.906870722770690918e-01
1.892999999999999972e+01,-6.620656847953796387e-01,-6.147389411926269531e-01,9.907025694847106934e-01
1.894000000000000128e+01,-6.622020006179809570e-01,-6.145264506340026855e-01,9.907369017601013184e-01
1.894999999999999929e+01,-6.623352766036987305e-01,-6.143172383308410645e-01,9.907541871070861816e-01
1.896000000000000085e+01,-6.624652147293090820e-01,-6.141115427017211914e-01,9.907774925231933594e-01
1.896999999999999886e+01,-6.625921726226806641e-01,-6.139094829559326172e-01,9.908043742179870605e-01
1.898000000000000043e+01,-6.627159118652343750e-01,-6.137112379074096680e-01,9.908291101455688477e-01
1.898999999999999844e+01,-6.628367900848388672e-01,-6.135170459747314453e-01,9.908402562141418457e-01
1.900000000000000000e+01,-6.629546284675598145e-01,-6.133267879486083984e-01,9.908657073974609375e-01
1.901000000000000156e+01,-6.630696058273315430e-01,-6.131406426429748535e-01,9.908906221389770508e-01
1.901999999999999957e+01,-6.631815433502197266e-01,-6.129586100578308105e-01,9.909037351608276367e-01
1.903000000000000114e+01,-6.632901430130004883e-01,-6.127808094024658203e-01,9.909290075302124023e-01
1.903999999999999915e+01,-6.633955836296081543e-01,-6.126070618629455566e-01,9.909337759017944336e-01
1.905000000000000071e+01,-6.634975671768188477e-01,-6.124376654624938965e-01,9.909509420394897461e-01
1.905999999999999872e+01,-6.635961532592773438e-01,-6.122723817825317383e-01,9.909625053405761719e-01
1.907000000000000028e+01,-6.636911630630493164e-01,-6.121113896369934082e-01,9.909707903861999512e-01
1.907999999999999829e+01,-6.637828350067138672e-01,-6.119546890258789062e-01,9.909721612930297852e-01
1.908999999999999986e+01,-6.638708114624023438e-01,-6.118022799491882324e-01,9.909827709197998047e-01
1.910000000000000142e+01,-6.639552116394042969e-01,-6.116542816162109375e-01,9.909869432449340820e-01
1.910999999999999943e+01,-6.640361547470092773e-01,-6.115106940269470215e-01,9.909918308258056641e-01
1.912000000000000099e+01,-6.641134619712829590e-01,-6.113715171813964844e-01,9.909967780113220215e-01
1.912999999999999901e+01,-6.641871929168701172e-01,-6.112365126609802246e-01,9.910072088241577148e-01
1.914000000000000057e+01,-6.642572283744812012e-01,-6.111056804656982422e-01,9.910169243812561035e-01
1.914999999999999858e+01,-6.643233895301818848e-01,-6.109789013862609863e-01,9.910423159599304199e-01
1.916000000000000014e+01,-6.643857359886169434e-01,-6.108562946319580078e-01,9.910505414009094238e-01
1.917000000000000171e+01,-6.644441485404968262e-01,-6.107378005981445312e-01,9.910653233528137207e-01
1.917999999999999972e+01,-6.644988656044006348e-01,-6.106237173080444336e-01,9.910758733749389648e-01
1.919000000000000128e+01,-6.645498871803283691e-01,-6.105140447616577148e-01,9.910876154899597168e-01
1.919999999999999929e+01,-6.645969748497009277e-01,-6.104087233543395996e-01,9.910889863967895508e-01
1.921000000000000085e+01,-6.646401286125183105e-01,-6.103075742721557617e-01,9.911021590232849121e-01
1.921999999999999886e+01,-6.646794676780700684e-01,-6.102106571197509766e-01,9.911033511161804199e-01
1.923000000000000043e+01,-6.647145748138427734e-01,-6.101178526878356934e-01,9.911115169525146484e-01
1.923999999999999844e+01,-6.647459268569946289e-01,-6.100288033485412598e-01,9.911183714866638184e-01
1.925000000000000000e+01,-6.647731065750122070e-01,-6.099436283111572266e-01,9.911296367645263672e-01
