time,p_x,p_y,p_z
2.319000000000000128e+01,7.033378481864929199e-01,-8.053138256072998047e-01,8.631745576858520508e-01
2.319999999999999929e+01,7.043094635009765625e-01,-8.055192828178405762e-01,8.632451891899108887e-01
2.321000000000000085e+01,7.052699923515319824e-01,-8.057233691215515137e-01,8.633105754852294922e-01
2.321999999999999886e+01,7.062190771102905273e-01,-8.059260249137878418e-01,8.633719086647033691e-01
2.323000000000000043e+01,7.071560025215148926e-01,-8.061273694038391113e-01,8.634293675422668457e-01
2.323999999999999844e+01,7.080801725387573242e-01,-8.063277006149291992e-01,8.634840846061706543e-01
2.325000000000000000e+01,7.089906930923461914e-01,-8.065269589424133301e-01,8.635361790657043457e-01
2.326000000000000156e+01,7.098870277404785156e-01,-8.067258596420288086e-01,8.635912537574768066e-01
2.326999999999999957e+01,7.107686400413513184e-01,-8.069242238998413086e-01,8.636492490768432617e-01
2.328000000000000114e+01,7.116347551345825195e-01,-8.071221709251403809e-01,8.637072443962097168e-01
2.328999999999999915e+01,7.124847769737243652e-01,-8.073196411132812500e-01,8.637660741806030273e-01
2.330000000000000071e+01,7.133181691169738770e-01,-8.075163960456848145e-01,8.638232946395874023e-01
2.330999999999999872e+01,7.141345739364624023e-01,-8.077122569084167480e-01,8.638830184936523438e-01
2.332000000000000028e+01,7.149336338043212891e-01,-8.079072833061218262e-01,8.639420866966247559e-01
2.332999999999999829e+01,7.157151103019714355e-01,-8.081019520759582520e-01,8.640041947364807129e-01
2.333999999999999986e+01,7.164788842201232910e-01,-8.082967996597290039e-01,8.640806674957275391e-01
2.335000000000000142e+01,7.172247171401977539e-01,-8.084917068481445312e-01,8.641629219055175781e-01
2.335999999999999943e+01,7.179520726203918457e-01,-8.086865544319152832e-01,8.642508983612060547e-01
2.337000000000000099e+01,7.186604142189025879e-01,-8.088810443878173828e-01,8.643430471420288086e-01
2.337999999999999901e+01,7.193492650985717773e-01,-8.090754151344299316e-01,8.644303679466247559e-01
2.339000000000000057e+01,7.200183272361755371e-01,-8.092697262763977051e-01,8.645163178443908691e-01
2.339999999999999858e+01,7.206678390502929688e-01,-8.094642758369445801e-01,8.646047115325927734e-01
2.341000000000000014e+01,7.212976813316345215e-01,-8.096593618392944336e-01,8.646928071975708008e-01
2.342000000000000171e+01,7.219079732894897461e-01,-8.098554015159606934e-01,8.647806048393249512e-01
2.342999999999999972e+01,7.224985957145690918e-01,-8.100520372390747070e-01,8.648645877838134766e-01
2.344000000000000128e+01,7.230690121650695801e-01,-8.102492094039916992e-01,8.649494051933288574e-01
2.344999999999999929e+01,7.236187458038330078e-01,-8.104467988014221191e-01,8.650386929512023926e-01
2.346000000000000085e+01,7.241475582122802734e-01,-8.106445074081420898e-01,8.651221990585327148e-01
2.346999999999999886e+01,7.246556282043457031e-01,-8.108425736427307129e-01,8.652036190032958984e-01
2.348000000000000043e+01,7.251429557800292969e-01,-8.110411167144775391e-01,8.652884364128112793e-01
2.348999999999999844e+01,7.256096005439758301e-01,-8.112401366233825684e-01,8.653710484504699707e-01
2.350000000000000000e+01,7.260558009147644043e-01,-8.114393949508666992e-01,8.654522299766540527e-01
2.351000000000000156e+01,7.264812588691711426e-01,-8.116385340690612793e-01,8.655338287353515625e-01
2.351999999999999957e+01,7.268861532211303711e-01,-8.118376731872558594e-01,8.656106591224670410e-01
2.353000000000000114e+01,7.272702455520629883e-01,-8.120366334915161133e-01,8.656817078590393066e-01
2.353999999999999915e+01,7.276338338851928711e-01,-8.122356534004211426e-01,8.657531142234802246e-01
2.355000000000000071e+01,7.279765009880065918e-01,-8.124349713325500488e-01,8.658228516578674316e-01
2.355999999999999872e+01,7.282985448837280273e-01,-8.126345872879028320e-01,8.658909797668457031e-01
2.357000000000000028e+01,7.285999655723571777e-01,-8.128341436386108398e-01,8.659549355506896973e-01
2.357999999999999829e+01,7.288801670074462891e-01,-8.130335211753845215e-01,8.660230040550231934e-01
2.358999999999999986e+01,7.291393876075744629e-01,-8.132321834564208984e-01,8.660879731178283691e-01
2.360000000000000142e+01,7.293781638145446777e-01,-8.134300112724304199e-01,8.661464452743530273e-01
2.360999999999999943e+01,7.295967340469360352e-01,-8.136274218559265137e-01,8.662014603614807129e-01
2.362000000000000099e+01,7.297957539558410645e-01,-8.138242363929748535e-01,8.662565350532531738e-01
2.362999999999999901e+01,7.299759387969970703e-01,-8.140206933021545410e-01,8.663101196289062500e-01
2.364000000000000057e+01,7.301371097564697266e-01,-8.142171502113342285e-01,8.663601875305175781e-01
2.364999999999999858e+01,7.302794456481933594e-01,-8.144133687019348145e-01,8.664071559906005859e-01
2.366000000000000014e+01,7.304024696350097656e-01,-8.146092295646667480e-01,8.664533495903015137e-01
2.367000000000000171e+01,7.305065393447875977e-01,-8.148043751716613770e-01,8.664954304695129395e-01
